epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.7867,0.66419,0.57538,0.94376,0.99916,0.94444,0.97461,0.82501,0.69543,0.63925,0.95726,0.00048,0.00048,0.00048
2,180.228,0.7091,0.60657,0.96504,0.90693,0.93056,0.95545,0.76868,0.71739,0.84246,0.9696,0.000960596,0.000960596,0.000960596
3,265.268,0.78339,0.66044,0.98391,0.92959,0.84722,0.94566,0.74832,0.80326,0.84805,0.99863,0.00142139,0.00142139,0.00142139
4,349.35,0.77916,0.75627,0.97443,0.79228,0.70833,0.79519,0.58414,0.89121,1.49295,1.0955,0.00186239,0.00186239,0.00186239
5,437.005,0.84016,0.7025,1.0295,0.51341,0.38889,0.39623,0.26496,1.36799,2.12017,1.58725,0.0018416,0.0018416,0.0018416
6,521.476,0.83763,0.77442,1.06237,0.8909,0.68056,0.7873,0.59948,0.87832,1.26081,1.12542,0.001802,0.001802,0.001802
7,606.255,0.84236,0.72095,1.04676,0.84796,0.69717,0.81443,0.61675,0.94906,1.11251,1.19757,0.0017624,0.0017624,0.0017624
8,690.326,0.85044,0.75209,1.05965,0.97616,0.90278,0.97932,0.77216,0.83762,0.76594,1.03023,0.0017228,0.0017228,0.0017228
9,775.391,0.84125,0.70984,1.03111,0.96963,0.88699,0.95508,0.72196,0.80071,0.72515,1.01104,0.0016832,0.0016832,0.0016832
10,861.624,0.84216,0.64424,1.024,0.93265,0.875,0.95954,0.79412,0.73009,0.81037,0.98176,0.0016436,0.0016436,0.0016436
11,946.2,0.8034,0.62602,1.02107,0.95632,0.91235,0.97532,0.80685,0.70226,0.6935,0.96156,0.001604,0.001604,0.001604
12,1030.67,0.80059,0.61555,1.02469,0.88918,0.91667,0.9498,0.7757,0.75709,0.723,1.00499,0.0015644,0.0015644,0.0015644
13,1117.53,0.78914,0.5921,1.00481,0.90961,0.88889,0.93075,0.76916,0.7648,0.63559,0.99386,0.0015248,0.0015248,0.0015248
14,1203.04,0.72295,0.68691,0.96817,0.94588,0.91667,0.96488,0.80036,0.70102,0.59042,0.95897,0.0014852,0.0014852,0.0014852
15,1288.85,0.76503,0.61751,0.96991,0.89787,0.88889,0.9517,0.76161,0.76719,0.63775,1.00362,0.0014456,0.0014456,0.0014456
16,1376.84,0.7493,0.59634,0.97778,0.85553,0.90474,0.95389,0.7919,0.71193,0.85914,0.97085,0.001406,0.001406,0.001406
17,1464.18,0.74493,0.57096,1.00431,0.99402,0.93056,0.97754,0.7968,0.72017,0.53371,0.97551,0.0013664,0.0013664,0.0013664
18,1548.26,0.7646,0.57843,1.0122,0.96346,0.94444,0.97774,0.79983,0.73479,0.56782,0.97663,0.0013268,0.0013268,0.0013268
19,1632.79,0.76209,0.56073,1.01713,0.95698,0.94444,0.97648,0.81388,0.67631,0.52076,0.95408,0.0012872,0.0012872,0.0012872
20,1721.13,0.72507,0.54857,0.98922,0.95796,0.94956,0.97509,0.81418,0.68312,0.56486,0.96822,0.0012476,0.0012476,0.0012476
21,1809.56,0.73369,0.55142,0.98121,0.90724,0.95091,0.96932,0.821,0.68304,0.54613,0.95269,0.001208,0.001208,0.001208
22,1895.72,0.71724,0.56466,0.99241,0.97117,0.93588,0.98179,0.82765,0.66934,0.48616,0.94241,0.0011684,0.0011684,0.0011684
23,1994.48,0.72714,0.51812,0.97277,1,0.91678,0.98785,0.82335,0.69464,0.51326,0.96476,0.0011288,0.0011288,0.0011288
24,2089.14,0.69957,0.55666,0.93615,0.97915,0.95833,0.98047,0.82638,0.69103,0.5024,0.94455,0.0010892,0.0010892,0.0010892
25,2180.15,0.6989,0.53093,0.97481,0.95771,0.94356,0.97651,0.8294,0.67165,0.48773,0.97184,0.0010496,0.0010496,0.0010496
26,2265.79,0.65434,0.49081,0.95377,0.97156,0.94886,0.98259,0.8276,0.68651,0.47564,0.96037,0.00101,0.00101,0.00101
27,2349.65,0.68844,0.45811,0.95213,0.9995,0.94444,0.9886,0.83681,0.67787,0.4421,0.97335,0.0009704,0.0009704,0.0009704
28,2433.1,0.69381,0.4569,0.97354,0.99941,0.95833,0.98764,0.82722,0.69887,0.46904,0.95189,0.0009308,0.0009308,0.0009308
29,2521.79,0.69103,0.46882,0.96317,0.95746,0.93785,0.96853,0.83697,0.66731,0.46104,0.97381,0.0008912,0.0008912,0.0008912
30,2605.74,0.65499,0.46009,0.95282,0.98111,0.94444,0.98492,0.83464,0.64097,0.44643,0.92483,0.0008516,0.0008516,0.0008516
31,2689.99,0.63508,0.44861,0.94364,0.93859,0.95833,0.98256,0.83852,0.65213,0.45498,0.92218,0.000812,0.000812,0.000812
32,2777.2,0.67324,0.45612,0.94373,0.98102,0.95833,0.98704,0.83807,0.62467,0.42803,0.91328,0.0007724,0.0007724,0.0007724
33,2861.43,0.62669,0.43261,0.93869,0.98589,0.97044,0.98603,0.85058,0.65315,0.39432,0.92402,0.0007328,0.0007328,0.0007328
34,2944.93,0.61796,0.44182,0.94874,0.99651,0.95833,0.9863,0.86582,0.57851,0.39005,0.90292,0.0006932,0.0006932,0.0006932
35,3028.48,0.6454,0.42642,0.94778,0.99805,0.97222,0.98427,0.85876,0.58958,0.37743,0.91467,0.0006536,0.0006536,0.0006536
36,3114.36,0.62015,0.44462,0.93807,0.98314,0.95833,0.97912,0.85451,0.59602,0.39303,0.90623,0.000614,0.000614,0.000614
37,3198,0.60035,0.43885,0.94352,0.9843,0.95833,0.98104,0.85471,0.61527,0.40618,0.91263,0.0005744,0.0005744,0.0005744
38,3280.67,0.62656,0.43285,0.95897,0.979,0.97222,0.98064,0.86748,0.58098,0.41595,0.89868,0.0005348,0.0005348,0.0005348
39,3364.61,0.58612,0.40927,0.95581,0.99539,0.97222,0.98762,0.86141,0.59927,0.36526,0.90825,0.0004952,0.0004952,0.0004952
40,3447.99,0.61411,0.41691,0.9566,0.9834,0.97222,0.99261,0.854,0.603,0.37621,0.90453,0.0004556,0.0004556,0.0004556
41,3532.07,0.52556,0.35155,0.86841,0.98591,0.97206,0.99089,0.86674,0.60036,0.37401,0.90473,0.000416,0.000416,0.000416
42,3615.23,0.5306,0.34974,0.85662,0.98485,0.97222,0.99197,0.8689,0.61359,0.36207,0.91646,0.0003764,0.0003764,0.0003764
43,3700.09,0.54205,0.34956,0.87314,0.98589,0.97043,0.98736,0.86399,0.60617,0.36185,0.91928,0.0003368,0.0003368,0.0003368
44,4165.68,0.54588,0.33889,0.88138,0.97077,0.95833,0.98262,0.84956,0.62934,0.37412,0.93749,0.0002972,0.0002972,0.0002972
45,4251.56,0.54426,0.33186,0.88032,0.98279,0.95833,0.9769,0.8427,0.63825,0.38468,0.9474,0.0002576,0.0002576,0.0002576
46,4336.93,0.50908,0.33316,0.8624,0.98532,0.95833,0.98061,0.85552,0.59584,0.36794,0.92741,0.000218,0.000218,0.000218
47,4424.96,0.50376,0.31775,0.86758,0.9981,0.95833,0.98381,0.86446,0.60307,0.34656,0.92545,0.0001784,0.0001784,0.0001784
48,4510.62,0.49958,0.30848,0.85685,0.9975,0.95833,0.9846,0.86026,0.61781,0.34903,0.93186,0.0001388,0.0001388,0.0001388
49,4594.52,0.50005,0.30957,0.86985,0.99792,0.95833,0.98506,0.8704,0.60256,0.34276,0.92662,9.92e-05,9.92e-05,9.92e-05
50,4678.69,0.47293,0.29909,0.84199,0.99708,0.95833,0.98556,0.86536,0.59633,0.33965,0.92413,5.96e-05,5.96e-05,5.96e-05
